SOLD_MONTH,CITY,ZIP,PRICE,BEDS,BATHS,SQUAREFEET,LOTSIZE,YEARBUILT,Price_per_sqrt,MLS,LATITUDE,LONGITUDE,HOUSE_DES
11/1/2022,Carrollton,75007,375000,3,2,1821,8059,1974,206,20193171,33.0005653,-96.8809886,"Beautifully updated and well-maintained home on a quiet cul-de-sac lot is move-in ready! Skylights and plenty of windows provide lots of natural light to the open living and dining areas. The bright kitchen boasts granite counters, a new oven-stove, a vented hood, an island, and ample cabinet space. The extremely spacious primary bedroom has a sitting area as well as a custom walk-in closet and an extra large shower. There are also 2 very spacious secondary bedrooms as well as another full bath. The backyard features a wonderful & tranquil covered patio space as well as a large grassy space with a fruit-producing pear tree and a new 8 ft board-on-board privacy fence. The garage is equipped with a Tesla charger, as well as built-in cabinets and a work table. HVAC and ducts all replaced in 2020. Act Fast and Don't Miss this Gem!"
4/1/2022,Carrollton,75007,389900,4,2,1706,7841,1979,229,20006334,33.0087691,-96.8727342,"Lovely Carrollton gem with sparkling POOL! Originally built in 1979, this 4 bed beauty has undergone tons of updates including new wood laminate flooring, a recent roof renovation, and radiant barrier & insulation added to the attic. Transferable warranty on pipes and foundation. Cozy sunk-in living room with vaulted ceilings leads to the spacious eat-in island kitchen. Enjoy your summers with a screened-in back patio and saltwater POOL remodeled in 2021 along with the wood fence. Close proximity to restaurants and shopping with easy access to GBT. Carrollton-Farmers Branch ISD. Don't miss!"
9/1/2022,Carrollton,75007,608000,3,3,2721,9191,1986,223,20131908,32.9898012,-96.9153372,"Beautifully updated home with a spectacular park view & an entertainer's backyard with a pool! Updates include the resurfaced heated swimming pool with spa & consistent wood flooring throughout the main living areas & the primary along with consistent tile in the wet areas & plush carpeting in secondary beds. 10ft ceilings & dedicated enclosed office welcome at entry. Bright & airy living room with soaring vaulted ceilings & backyard views. Gorgeous kitchen equipped with updated J&K kitchen cabinets 44in uppers no soffit, honed marble tile backsplash, 3 pantries, new SS appliances, huge single deep square sink, & built-in dinette seating. Grand primary suite with a large walk-in closet with custom built-ins + an incredible bath with seamless glass walk-in shower, freestanding tub, & marble top dual sink vanity. Tall energy-rated windows throughout, tankless water heater, & LED recessed lighting. Close proximity to the airports (20 min) plus easy access to PGB, I35E, Sam Rayburn, & DNT."
9/1/2022,Carrollton,75007,410000,3,2,1822,7492,1984,225,20141065,32.991635,-96.894394,"Multiple offers received. Please submit highest and best by 12pm Monday 8.22.22. This beautifully updated single story residence is situated in the heart of all the city! This smartly designed home offers an abundance of natural light throughout the main areas, soft interior colors, spacious formals, and a charming floor to ceiling fireplace that gives the living area such warmth and character! The gallery kitchen offers granite countertops, tons of cabinetry, and 2 dining areas ideal for hosting large Holiday dinners with friends & family-----not to mention the custom wet bar that makes a great showpiece when entertaining! The primary bedroom has a private en-suite bath that offers a separate shower and large soaking tub to unwind after a long day! Highlights: Fully fenced yard, covered patio, and storage shed! Nature enthusiasts will love the tranquil feel of the neighborhood with access to miles of walking trails great for evening strolls with the fur babies! A must see!"
8/1/2022,Carrollton,75007,598000,5,3.5,3141,9845,1989,190,20097778,33.0038258,-96.9186284,"Beautiful 5 bed charmer with a POOL in Carrollton's Timbercreek Estates! Versatile formal living room, could double as a study or den, makes for a blank canvas large enough to get creative with + access to the backyard & a wet bar. Eat-in kitchen equipped with stainless steel appliances, double ovens, and skylights opening to the breakfast nook. You can find all 5 bedrooms upstairs, including 2 spacious primary suites with dual sink vanities. Fabulous backyard with sparkling pool and open patio! Timbercreek Estates features a community clubhouse, pool, playground, and the Timbercreek Park. Great location-- surrounded by tons of restaurants, grocery stores, and entertainment, including the Indian Creek Golf Club. Welcome home!"
12/1/2022,Carrollton,75007,420000,3,2.5,2028,10454,1985,207,20216920,33.022265,-96.869427,"Welcome home to this beautiful One Story on a corner lot in North Carrollton! Very near shopping, restaurants and all three schools! Wonderful layout with two family rooms, half bath, large dining room and kitchen on one side of the home and three beds and two full baths on the other. Amazing backyard with board on board fence, large covered patio and a driveway large enough for a basketball goal! Home features include stunning wood floors, light kitchen with gas stove, fresh paint, new HVAC and duct work, gorgeous all new windows throughout, beautiful iron front door, granite in kitchen and baths, and new garage door and opener! No carpet except in the Two Primary Closets! (Please excuse the fresh paint smell.)"
3/1/2022,Carrollton,75007,395000,3,2.5,1996,4704,2004,198,20000858,33.022491,-96.887359,"So many updates in this spectacular Quail Creek townhome. Beautiful hardwood floors invite you in & extend throughout most of the downstairs. Plantation shutters throughout. Open & bright floorplan with vaulted ceiling. Stunning dining & living combo with textured travertine gas log fireplace & wall niches. Spacious downstairs master suite with sitting area. Island kitchen renovated in '19 including- quartz countertops, backsplash, Bosch DW, slide in gas range; convection air fryer microwave '21. Updated powder bath. Upstairs offers a loft living area, 2 bedrooms & updated bath. Amazing storage: walk-in pantry, extra cabinets in upstairs hall & in laundry, walk-in attic. Enjoy the east facing pretty back patio with Zoysia grass. Tankless WH. New AC '18. Roof '18. Fence '20. HOA maintains all sprinklers & all landscaping outside of backyard fencing. Meticulously maintained. Great location with easy access to I-35, GBTP, Tollway. Walk to Sprouts, Starbucks, public library & more. WOW!"
5/1/2022,Carrollton,75007,375000,3,2,1883,9191,1984,199,20050130,33.0185582,-96.8782021,"Amazing opportunity to own a home in desirable Carrollton. 3 bedroom ranch on almost quarter acre lot. Open layout with updated laminate wood floors throughout. Large living room with soaring ceilings with modern gas fireplace. 2nd living, gameroom or formal dining off kitchen. Kitchen features stainless appliances and ample cabinets and countertop space. Master bedroom features laminate wood floors, large walk in closet, master bath with double sinks and garden tub. Relax in the large backyard with nice covered patio wired for TV, steel pole fence and serene view of surrounding trees and wildlife. Beautiful park with biking and walking trails within walking distance of the home. Recent floors and AC unit. In the heart of Carrollton with access close to everything. Showings start Friday May 6th"
8/1/2022,Carrollton,75007,377000,3,2,1247,8189,1984,302,20115453,33.0165797,-96.8739912,Welcome to this gorgeous neighborhood! Terrific 3 bedroom and 2 bath home with a 2 car garage. Enjoy preparing meals in this impressive kitchen equipped with ample cabinets and generous counter space. Entertaining is a breeze with this great floor plan complete with a cozy fireplace. Primary bathroom features a separate tub and shower and dual sinks. Bedrooms offer plush carpet and ceiling fans. Relax with your favorite drink in the fenced in backyard with a patio. Don't miss this incredible opportunity. This home has been virtually staged to illustrate its potential.
5/1/2022,Carrollton,75007,575000,4,2.5,2986,5227,2004,193,20036320,33.0215096,-96.8897679,"*MULTIPLE OFFERS RECEIVED PLEASE HAVE ALL OFFERS SUBMITTED BY SUNDAY APRIL 24 @6PM* This beautiful two story home located in Moore Farm will not disappoint. The kitchen has been updated with newer countertops, sink & floors. The kitchen has an abundance of cabinets & counter space. Secondary bath has been updated with newer tile floor & counter tops. Newer carpet throughout. There are three living areas giving everyone their own space. Cozy up by the fireplace with this open floorplan and still have access to everyone in the kitchen. You cant miss the HUGE upstairs game or flex space. It could be a full size theatre with room to spare. Located in a Cul-de-sac with rear entry and automatic gate making coming home easy with a click of a button. Great backyard with 8' foot privacy fence. Extended outdoor covered patio with grassy area for room to play. Centrally located near shopping, restaurants, schools and easy access to tollways. Don't miss out this home won't last long!"
